,Domain,Page rank integer,Page rank decimal,Site Rank,Domain registrar,Postal code,Country of origin,Harmless,Malicious,Suspicious,Undetected,Timeout,No. of Local links,No. of Outbound links,Total links,Links to fake news site?,Wordpress?,Site Rating
45,realnewsrightnow.com,4,3.79,1699263,"TUCOWS, INC.",REDACTED FOR PRIVACY,US,85,1,1,9,0,50,8,58,FALSE,TRUE,Fake
46,rilenews.com,2,2.27,17732619,Domainplace LLC,49418,US,85,0,0,11,0,0,0,0,FALSE,FALSE,Fake
47,thenewsnerd.com,4,3.8,1689502,DropCatch.com 361 LLC,22320,RS,85,1,0,10,0,17,0,17,FALSE,TRUE,Fake
48,therundownlive.com,4,3.76,1743476,IONOS SE,REDACTED FOR PRIVACY,US,83,1,0,12,0,2,71,73,FALSE,TRUE,Fake
49,truthfrequencyradio.com,4,4.17,716098,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,0,57,57,FALSE,TRUE,Fake
50,twitchy.com,5,4.77,33523,"CSC CORPORATE DOMAINS, INC.",93012,US,85,0,0,11,0,85,12,97,FALSE,TRUE,Fake
51,veteranstoday.com,4,4.43,114606,"GoDaddy.com, LLC",85284,US,84,0,0,12,0,142,17,159,FALSE,TRUE,Fake
52,worldtruth.tv,4,4.05,1249242,,,,83,0,0,13,0,71,13,84,FALSE,TRUE,Fake
53,bostonleader.com,3,3.49,2737304,"Cloudflare, Inc.",DATA REDACTED,US,86,1,0,9,0,89,20,109,FALSE,TRUE,Fake
54,cap-news.com,3,3.23,3932508,"GoDaddy.com, LLC",85284,US,78,4,0,14,0,10,9,19,FALSE,FALSE,Fake
55,channel-7-news.com,2,1.71,52220671,ABOVE.COM PTY LTD.,,HK,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
56,civictribune.com,3,3.45,2918346,"Name.com, Inc.",80201,US,85,0,0,11,0,24,1,25,FALSE,TRUE,Fake
57,conservativedailypost.com,4,3.99,1303578,NAMECHEAP INC,101,IS,83,0,0,13,0,75,2,77,FALSE,TRUE,Fake
58,dailybuzzlive.com,4,3.94,1372349,"GoDaddy.com, LLC",85284,US,84,0,0,12,0,18,14,32,FALSE,TRUE,Fake
59,dailyheadlines.com,3,3.48,2755349,NAMECHEAP INC,101,IS,85,1,0,10,0,36,0,36,FALSE,TRUE,Fake
60,dailyheadlines.net,4,3.65,2084718,NAMECHEAP INC,101,IS,84,0,0,12,0,31,0,31,FALSE,TRUE,Fake
61,deadlyclear.wordpress.com,4,4.14,842345,"MarkMonitor, Inc.",,US,86,0,0,10,0,2,123,125,FALSE,TRUE,Fake
62,departed.co,3,3.27,3751899,Dynadot LLC,REDACTED FOR PRIVACY,US,85,1,0,10,0,37,0,37,FALSE,FALSE,Fake
63,enduringvision.com,3,2.95,5918551,NAMECHEAP INC,101,IS,85,0,0,11,0,59,6,65,FALSE,FALSE,Fake
64,freedomdaily.com,4,3.69,1919397,"NameSilo, LLC",85016,US,85,0,0,11,0,22,0,22,FALSE,TRUE,Fake
65,goneleft.com,2,2.41,13668070,Key-Systems GmbH,22314,US,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
66,immediatesafety.org,3,2.51,11567153,Epik Inc.,REDACTED FOR PRIVACY,US,85,1,0,10,0,128,8,136,FALSE,TRUE,Fake
67,infostormer.com,4,3.64,2095842,"Register.com, Inc.",32256,US,87,0,0,9,0,57,1,58,FALSE,FALSE,Fake
68,investmentwatchblog.com,4,4.42,117923,IONOS SE,REDACTED FOR PRIVACY,US,84,0,0,12,0,38,3,41,FALSE,FALSE,Fake
69,itmakessenseblog.com,4,4.15,817135,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,21,40,61,FALSE,TRUE,Fake
70,iwanttoexplore.com,1,0.99,93199992,"Hostinger, UAB",248001,IN,86,0,0,10,0,0,0,0,FALSE,FALSE,Fake
71,konkonsagh.biz,1,0.95,95867633,Key-Systems GmbH,REDACTED FOR PRIVACY,,86,0,0,10,0,0,0,0,FALSE,FALSE,Fake
72,krbcnews.com,3,3.18,4225093,NAMECHEAP INC,101,IS,85,1,0,10,0,16,1,17,FALSE,FALSE,Fake
73,ky12news.com,3,2.67,9183206,Internet Domain Service BS Corp.,,BS,87,0,0,9,0,12,21,33,FALSE,TRUE,Fake
74,learnprogress.org,4,3.56,2382561,"GoDaddy.com, LLC",REDACTED FOR PRIVACY,US,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
75,libertyalliance.com,3,3.23,3908639,"GoDaddy.com, LLC",85284,US,85,1,0,10,0,7,2,9,FALSE,FALSE,Fake
76,mediamass.net,3,3.33,3382625,GANDI SAS,REDACTED FOR PRIVACY,CN,83,0,0,13,0,14,1,15,FALSE,FALSE,Fake
77,natives-today.com,2,2.16,21449936,PearlNamingService.com LLC,49418,US,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
78,nephef.com,0,0,,Key-Systems GmbH,22314,US,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
79,news4ktla.com,3,3.43,2977569,"GoDaddy.com, LLC",85284,US,85,1,0,10,0,32,2,34,FALSE,TRUE,Fake
80,newsbreakshere.com,3,2.63,9648714,,,,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
81,newsbysquad.com,0,0,,"Domain Esta Aqui, LLC",Statutory Masking Enabled,GI,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
82,newslo.com,4,3.8,1691303,"GoDaddy.com, LLC",85284,US,81,1,0,14,0,93,7,100,FALSE,TRUE,Fake
83,newswatch28.com,4,3.69,1920162,NAMECHEAP INC,101,IS,85,0,0,11,0,19,6,25,FALSE,TRUE,Fake
84,newswatch33.com,4,3.5,2714385,DropCatch.com 1174 LLC,102,BG,85,1,0,10,0,74,2,76,FALSE,TRUE,Fake
85,notallowedto.com,4,3.64,2094085,NAMECHEAP INC,101,IS,83,0,0,13,0,26,0,26,FALSE,FALSE,Fake
86,now8news.com,4,3.57,2375611,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,18,1,19,FALSE,TRUE,Fake
87,onepoliticalplaza.com,3,3.03,5406523,"ENOM, INC.",REDACTED FOR PRIVACY,US,86,0,0,10,0,38,0,38,FALSE,FALSE,Fake
